,City,Category,Hotel_Name,Locality,Original Price,Discount,Offer Price,Star Rating,Rating,Remarks,Wi-Fi,CCTV Cameras,Doctor on Call,Parking Facility,Power backup,Elevator,Reception,AC
112,Delhi,OYO,80879 Townhouse 421 Kirti Nagar Oth,"Kirti Nagar, ",1894,47,994,4.3,3,Very,no,no,no,no,no,no,no,no
113,Delhi,OYO,Comfort Home,"Lajpat Nagar II, ",1818,50,899,4.7,2,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
114,Delhi,Capital O,O 88320 Hotel Grand Stays,", ",2206,55,985,3.846496815,8,Fair,no,no,no,no,no,no,no,no
115,Delhi,Townhouse,899 Hotel Singh,"India, ",2101,65,715,3.1,8,Fair,no,no,no,no,no,no,no,no
116,Delhi,OYO,463 Hotel Metro View Inn,"Near hotel jaypee, patel nagar, ",1340,48,1340,4.2,7,Very,yes,yes,yes,yes,yes,yes,yes,yes
117,Delhi,OYO,81379 Collection O Hotel Green Plaza,"near Lal batti, ",1014,70,1014,4.2,3,Very,yes,yes,yes,yes,yes,yes,yes,yes
118,Delhi,OYO,Townhouse 811 The Leaf Residency,"India, ",2939,75,715,4,5,Very,no,no,no,no,no,no,no,no
119,Delhi,OYO,88630 Shiv Rattan Kutir,"India, ",1197,54,541,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
120,Delhi,OYO,Townhouse 409 Brostay Meera Bagh,"A-342, Meera Bagh, Paschim Vihar, ",2416,58,994,4.4,9,Very,yes,yes,yes,yes,yes,yes,yes,yes
121,Delhi,OYO,Townhouse 604 The Royal Galaxy,"Plot 2,Sec-12B,Opposite Metro Station Sec-12,Dwarka,New ",1482,50,1482,3.5,8,Good,yes,yes,yes,yes,yes,yes,yes,yes
122,Delhi,OYO,86200 Sahil Residency,"Road Number 77, ",1920,71,541,3.8,1,Good,no,no,no,no,no,no,no,no
123,Delhi,OYO,69968 Trish Inn,"Opposite max hospital, ",1014,53,1014,3.6,9,Good,no,no,no,no,no,no,no,no
124,Delhi,Townhouse,868 Grand Pacific Ocean,"WZ-3 Opp Pillor no 322 Moti Nagar  110051, ",2032,52,961,4.5,4,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
125,Delhi,OYO,O 88560 The Vegas,"g.39 ramphal chwok Dwarka sec.7, ",1541,58,647,3.5,4,Good,yes,yes,yes,yes,yes,yes,yes,yes
126,Delhi,SPOT ON,ON 39899 Shyam Palace,"Near R K Ashram Metro Station, Pahar Ganj, ",1352,63,499,4.1,0,Very,no,no,no,no,no,no,no,no
127,Delhi,OYO,81119 Hotel Prince," , ",1391,61,541,3.6,1,Good,no,no,no,no,no,no,no,no
128,Delhi,OYO,65163 Mahalaxmi Deluxe,"2682, Street No.8, Chuna Mandi, Paharganj, New -110055",1872,69,562,3.9,6,Good,yes,yes,yes,yes,yes,yes,yes,yes
129,Delhi,Capital O,O 86909 Hotel Cozy Inn,"Ram Murthi Pasi Marg, Sector 11, Rohini, Alipur Tehsil, ",2536,68,811,4.1,2,Very,yes,yes,yes,yes,yes,yes,yes,yes
130,Delhi,OYO,87627 Delight Stay,"India, ",1997,70,592,4.1,6,Very,yes,yes,yes,yes,yes,yes,yes,yes
131,Delhi,OYO,78525 Indian Residency,"Above Canara Bank Lajpat Nagar Part-2, ",2021,67,657,3.9,7,Good,yes,yes,yes,yes,yes,yes,yes,yes
132,Delhi,Capital O,O 70301 Rohil Residency,"Near rithala metro station, Pehladpur Bangar, ",3190,75,792,3.3,7,Fair,yes,yes,yes,yes,yes,yes,yes,yes
133,Delhi,OYO,29435 Park Inn,"Near Bus Stop, Chittaranjan Park, ",1318,64,1318,3.7,3,Good,yes,yes,yes,yes,yes,yes,yes,yes
134,Delhi,OYO,Townhouse 286 Vaishali Dakshini Pitampura,"Near Pitampura Metro Station, ",1807,49,1807,3.8,7,Good,no,no,no,no,no,no,no,no
135,Delhi,Collection O,O 87188 Hotel Grand International,"India, ",1929,64,691,2.9,7,Fair,no,no,no,no,no,no,no,no
136,Delhi,OYO,24677 Tashkent,"Paharganj, ",2253,65,783,3.8,2,Good,yes,yes,yes,yes,yes,yes,yes,yes
137,Delhi,OYO,69987 The Cozy Inn,"Near Haiderpur Metro Station, Auchandi Road, ",2028,73,546,3.7,8,Good,yes,yes,yes,yes,yes,yes,yes,yes
138,Delhi,OYO,Townhouse 475 Nangal Raya Pankha Road,"Near EASYDAY, Gandhi Market, ",1786,47,1786,4.1,8,Very,yes,yes,yes,yes,yes,yes,yes,yes
139,Delhi,OYO,35359 Hotel Victoria Dx,"Near New  Railway Station, ",2388,70,713,3.2,9,Fair,no,no,no,no,no,no,no,no
140,Delhi,OYO,84596 Hotel North Campus,", ",2246,57,949,2.5,5,Fair,yes,yes,yes,yes,yes,yes,yes,yes
141,Delhi,OYO,Flagship 80575 Kashish Residency,"Ashok Vihar-3, ",3504,80,699,2.9,1,Fair,no,no,no,no,no,no,no,no
142,Delhi,OYO,9726 Hotel Aura Palace Deluxe,"Pahar Ganj, ",2174,58,910,4.4,3,Very,no,no,no,no,no,no,no,no
143,Delhi,OYO,75287 Pubg Residency,"Near Reliance Fresh, Mayur Vihar Phase 1, ",2240,68,696,3.8,9,Good,no,no,no,no,no,no,no,no
144,Delhi,OYO,78699 Hotel Klick International,", ",1923,52,920,3.3,4,Fair,yes,yes,yes,yes,yes,yes,yes,yes
145,Delhi,OYO,6467 Kochar Plaza,"Near Liberty Cinema, New Rohtak Rd, ",2412,62,899,4.4,4,Very,yes,yes,yes,yes,yes,yes,yes,yes
146,Delhi,Capital O,O 85988 Dwarka Metro View,"delhi , ",2419,69,747,3.5,3,Good,no,no,no,no,no,no,no,no
147,Delhi,Collection O,O 77161 Shalimar Bagh,"Shalimar Village., ",3047,70,899,3.7,2,Good,yes,yes,yes,yes,yes,yes,yes,yes
148,Delhi,OYO,84730 Z-heart,"D-28 vishwakarma colony pul  delhi 110044, ",1938,64,695,4.3,1,Very,yes,yes,yes,yes,yes,yes,yes,yes
149,Delhi,OYO,2064 Hotel The Spot,"New  , ",2080,66,688,4.3,9,Very,yes,yes,yes,yes,yes,yes,yes,yes
150,Delhi,OYO,77731 DEL1488 Hmoca,"KHANPUR, ",1793,62,675,3.6,7,Good,yes,yes,yes,yes,yes,yes,yes,yes
151,Delhi,OYO,16978 Hotel Sterling Inn,"Paharganj, ",1335,47,1335,4.7,3,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
152,Delhi,OYO,15835 Hotel City Palace,"Near New  Railway Station, ",2080,66,699,4.1,7,Very,yes,yes,yes,yes,yes,yes,yes,yes
153,Delhi,Collection O,O 79356 Mahavir Enclave,"dwarka, ",2287,74,576,4.2,4,Very,yes,yes,yes,yes,yes,yes,yes,yes
154,Delhi,OYO,81569 The Red Rose Inn,"India, ",2089,76,500,2.9,2,Fair,no,no,no,no,no,no,no,no
155,Delhi,OYO,24436 Ramji 7 Grand,"Near Kirti Nagar Metro Station, ",2080,55,921,4.1,5,Very,yes,yes,yes,yes,yes,yes,yes,yes
156,Delhi,Capital O,O 43002 Grand Bella,"Near Bus Stop, Chittaranjan Park, ",1420,47,1420,4.1,8,Very,yes,yes,yes,yes,yes,yes,yes,yes
157,Delhi,OYO,87965 Padam Residency By Meet You There,"Main Market Shakarpur, ",2212,71,625,4.2,2,Very,yes,yes,yes,yes,yes,yes,yes,yes
158,Delhi,OYO,82283 Hotel Royal City,", ",1920,67,625,3.9,1,Good,no,no,no,no,no,no,no,no
159,Delhi,OYO,Flagship 71404 Rose Stay," India, ",2567,63,949,4.2,2,Very,no,no,no,no,no,no,no,no
160,Delhi,OYO,78876 The Premium Villa,Near lajpat nagar metro station,2016,59,821,4.2,5,Very,yes,yes,yes,yes,yes,yes,yes,yes
161,Delhi,OYO,HOME 85012 Dreamhouse,", ",1656,68,517,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
162,Delhi,OYO,67019 Hotel Manali,"Dwarka, ",2361,58,973,2.7,5,Fair,yes,yes,yes,yes,yes,yes,yes,yes
163,Delhi,SPOT ON,ON 77866 Mahalakshmi Inn,Near Ashram metro gate no 2,1962,59,799,3.2,8,Fair,no,no,no,no,no,no,no,no
164,Delhi,OYO,77353 Tom & Jerry,"India, ",2999,81,550,3.9,0,Good,yes,yes,yes,yes,yes,yes,yes,yes
165,Delhi,OYO,Flagship 85851 Bharat Stay,"New , ",2154,71,619,4.1,0,Very,yes,yes,yes,yes,yes,yes,yes,yes
166,Delhi,OYO,13027 Shri Hari Kunj,"oppsite Kamala Karan Gas agency, ",2266,68,712,2.8,3,Fair,yes,yes,yes,yes,yes,yes,yes,yes
167,Delhi,OYO,79394 Grand Palace 2,"India, ",2080,73,541,3.5,3,Good,no,no,no,no,no,no,no,no
168,Delhi,OYO,Flagship 69247 Best Bikaner Smart,"Near Radha Swami Ashram, Narela, ",1958,67,646,3.2,6,Fair,no,no,no,no,no,no,no,no
169,Delhi,OYO,75380 Hotel Shimla,"Near Dwarka mor metro station, Sector 15 Dwarka, ",2464,69,751,2.3,7,Fair,no,no,no,no,no,no,no,no
170,Delhi,OYO,Flagship 86155 Hotel Shyam,"India, ",1958,67,628,4,9,Very,no,no,no,no,no,no,no,no
171,Delhi,OYO,Flagship 76704 The Mayur Hotel,"Tri Nagar, ",2261,77,518,3.6,1,Good,yes,yes,yes,yes,yes,yes,yes,yes
172,Delhi,OYO,78109 Premium Villa,"Near By Chattrapur Metro Station, ",3352,79,699,3.8,8,Good,no,no,no,no,no,no,no,no
173,Delhi,OYO,10562 Paharganj,"Near New  Railway Station, ",2128,58,891,2.8,3,Fair,yes,yes,yes,yes,yes,yes,yes,yes
174,Delhi,OYO,76738 Hotel Z Black,"KH-457/1, Near Shalimar Palace, Burari, -110084",1769,48,916,2.9,9,Fair,no,no,no,no,no,no,no,no
175,Delhi,OYO,27979 Krishna Residency,"Near Iskcon Temple, kailash , ",2882,68,899,4,3,Very,no,no,no,no,no,no,no,no
176,Delhi,OYO,85494 Osho Palace,"12,nagali rajapur, behind Lal Hotel, opposite hazarat Nizamuddin Metro Station gate no 2",2229,71,625,2.8,9,Fair,yes,yes,yes,yes,yes,yes,yes,yes
177,Delhi,Collection O,O 9266 Hotel Kapoor Inn,"Near Kailash Colony Metro Station, ",1684,47,1684,3.3,2,Fair,yes,yes,yes,yes,yes,yes,yes,yes
178,Delhi,OYO,22354 PG Hospitality Inn,"Near New  Railway Station, ",2253,66,747,3.9,4,Good,no,no,no,no,no,no,no,no
179,Delhi,Collection O,O 85116 peaceful stay,Near Rajouri Garden Metro Station,1014,47,1014,4,8,Very,no,no,no,no,no,no,no,no
