,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,City,Locality,Cost_Price,Discount,Selling_Price,Rate,Customer_Rating,Remarks,Category,Hotel_Name,Parking Facility,wifi_availabilty,AC,Reception,CCTV Cameras,Doctor on Call,Power backup,Elevator
10,10,SPOT ON 81775 MOHIT GOKUL LODGE NEW ROOM'S,₹376₹124869% offper room per nightView DetailsBook Now,3.9 (326 Ratings)·Good, Parking Facility  Reception  Free Wifi  + 8 more,"NEAR TO SECUNDERBAD EAST METRO RAIL STATION, Hyderabad·       5.9 km",Hyderabad,NEAR TO SECUNDERBAD EAST METRO RAIL STATION,1248,69,376,3.9,326 Ratings,Good,SPOT ON,ON 81775 MOHIT GOKUL LODGE NEW ROOM'S,yes,yes,yes,yes,yes,yes,yes,yes
11,11,OYO 19365 Hotel Sabharwal,₹549₹172968% offper room per nightView DetailsBook Now,3.0 (434 Ratings)·Fair, Elevator  Free Wifi  Geyser  + 4 more,"Near Grand Hotel , Hanuman Tekdi, Hyderabad·       0.9 km",Hyderabad,Near Grand Hotel ,1729,68,549,3.0,434 Ratings,Fair,OYO,19365 Hotel Sabharwal,yes,yes,yes,yes,yes,yes,yes,yes
12,12,OYO 73783 Hotel Sai Pariwar,₹437₹143369% offper room per nightView DetailsBook Now,3.7 (336 Ratings)·Good, Private Entrance  Reception  Free Wifi  + 13 more,"500027, Hyderabad·       1.1 km",Hyderabad,500027,1433,69,437,3.7,336 Ratings,Good,OYO,73783 Hotel Sai Pariwar,yes,yes,yes,yes,yes,yes,yes,yes
13,13,OYO HYD1589 Hotel Dhana Residency,₹330₹124873% offper room per nightView DetailsBook Now,2.8 (265 Ratings)·Fair, TV  AC  Reception  + 13 more,"India, Hyderabad·       5.8 km",Hyderabad,India,1248,73,330,2.8,265 Ratings,Fair,OYO,HYD1589 Hotel Dhana Residency,no,no,no,no,no,no,no,no
14,14,OYO Home 79961 Comfortable Stays,₹1241₹236447% offper room per nightView DetailsBook Now,4.3 (836 Ratings)·Very Good, Free Wifi  AC  TV  + 1 more,"Hyderabad, Hyderabad·       4.0 km",Hyderabad,Hyderabad,2364,47,1241,4.3,836 Ratings,Very,OYO,Home 79961 Comfortable Stays,yes,yes,yes,yes,yes,yes,yes,yes
15,15,Collection O 36047 Hotel Srinivasa Residency,₹664₹173061% offper room per nightView DetailsBook Now,2.9 (241 Ratings)·Fair, Reception  Free Wifi  Power backup  + 16 more,"Near Global Hospital, Lakdikapul, Hyderabad·       3.3 km",Hyderabad,Near Global Hospital,1730,61,664,2.9,241 Ratings,Fair,Collection O,O 36047 Hotel Srinivasa Residency,yes,yes,yes,yes,yes,yes,yes,yes
16,16,SPOT ON 80478 Hotel Baba Classic ,₹317₹134476% offper room per nightView DetailsBook Now,2.7 (119 Ratings)·Fair, TV  Reception  Public Washroom  + 10 more,"#7-2-971 & 977 Opp Hanuman Kaman sajjanial street Monda Market Hyderabad., Hyderabad·       5.6 km",Hyderabad,#7-2-971 & 977 Opp Hanuman Kaman sajjanial street Monda Market Hyderabad.,1344,76,317,2.7,119 Ratings,Fair,SPOT ON,ON 80478 Hotel Baba Classic,no,no,no,no,no,no,no,no
17,17,Capital O 71317 White Ridge,₹1606₹305947% offper room per nightView DetailsBook Now,4.5 (2047 Ratings)·Excellent, Reception  Free Wifi  24/7 Checkin  + 10 more,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad·       5.1 km",Hyderabad,Near Khazana Jewellery,3059,47,1606,4.5,2047 Ratings,Excellent,Capital O,O 71317 White Ridge,yes,yes,yes,yes,yes,yes,yes,yes
18,18,Collection O 68920 Hotel V Square,₹730₹215066% offper room per nightView DetailsBook Now,3.8 (47 Ratings)·Good, Mini Fridge  AC  TV  + 5 more,"Near Nampally Metro Station, Abids South, Hyderabad·       1.9 km",Hyderabad,Near Nampally Metro Station,2150,66,730,3.8,47 Ratings,Good,Collection O,O 68920 Hotel V Square,no,no,no,no,no,no,no,no
19,19,OYO 86305 Hotel Aroma Classic,₹586₹180167% offper room per nightView DetailsBook Now,4.2 (101 Ratings)·Very Good, Reception  Public Washroom  Free Wifi  + 14 more,"15-1-309 feelkhana near acharaya bhavan baba ramdav mandir bagum bazar Hyderabad 500012, Hyderabad·       1.6 km",Hyderabad,15-1-309 feelkhana near acharaya bhavan baba ramdav mandir bagum bazar Hyderabad 500012,1801,67,586,4.2,101 Ratings,Very,OYO,86305 Hotel Aroma Classic,yes,yes,yes,yes,yes,yes,yes,yes
20,20,SPOT ON 75390 Bhavani Rest Rooms ,₹388₹114366% offper room per nightView DetailsBook Now,3.3 (581 Ratings)·Fair, Reception  Ticket Tour Assistance  Queen Sized Bed  + 9 more,"India, Hyderabad·       5.6 km",Hyderabad,India,1143,66,388,3.3,581 Ratings,Fair,SPOT ON,ON 75390 Bhavani Rest Rooms,no,no,no,no,no,no,no,no
21,21,SPOT ON 80753 Sri Sai Amaravathi Lodge,₹523₹134461% offper room per nightView DetailsBook Now,3.0 (356 Ratings)·Fair, Reception  Ticket Tour Assistance  Daily Housekeeping  + 4 more,"Opposite to metro pillar number A1115, near NIMS, Punjagutta, Hyderabad·       5.5 km",Hyderabad,Opposite to metro pillar number A1115,1344,61,523,3.0,356 Ratings,Fair,SPOT ON,ON 80753 Sri Sai Amaravathi Lodge,no,no,no,no,no,no,no,no
22,22,OYO 49253 Raja Residency,₹898₹203555% offper room per nightView DetailsBook Now,4.3 (3390 Ratings)·Very Good, Private Entrance  Parking Facility  Reception  + 13 more,"Near Raja Deluxe Complex, Musheerabad, Hyderabad·       3.7 km",Hyderabad,Near Raja Deluxe Complex,2035,55,898,4.3,3390 Ratings,Very,OYO,49253 Raja Residency,no,no,no,no,no,no,no,no
23,23,SPOT ON 81308 Gokul Residency,₹414₹134469% offper room per nightView DetailsBook Now,3.1 (215 Ratings)·Fair, Elevator  Reception  Ticket Tour Assistance  + 5 more,"Near Ganesh temple, opp. Rathifile bus stand, Secunderabad - 500025·       5.9 km",Hyderabad,Near Ganesh temple,1344,69,414,3.1,215 Ratings,Fair,SPOT ON,ON 81308 Gokul Residency,no,no,no,no,no,no,no,no
24,24,OYO 40852 Hotel White Ridge,₹1014₹193147% offper room per nightView DetailsBook Now,4.0 (1225 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 13 more,"Near Dilsukhnagar metro station, Krishna Nagar, Hyderabad.·       4.6 km",Hyderabad,Near Dilsukhnagar metro station,1931,47,1014,4.0,1225 Ratings,Very,OYO,40852 Hotel White Ridge,yes,yes,yes,yes,yes,yes,yes,yes
25,25,OYO 70927 Hotel Hyderabad Continental,₹412₹93455% offper room per nightView DetailsBook Now,3.6 (423 Ratings)·Good, TV  King Sized Bed  Dress Hanger  + 1 more,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad·       0.7 km",Hyderabad,Near Tarakarama Theatre,,55,412,3.6,423 Ratings,Good,OYO,70927 Hotel Hyderabad Continental,no,no,no,no,no,no,no,no
26,26,Capital O 85402 Sri Sai Regency,₹747₹208064% offper room per nightView DetailsBook Now,3.7 (100 Ratings)·Good, Hair Dryer  Reception  Security  + 15 more,"Hyderabad, Hyderabad·       2.6 km",Hyderabad,Hyderabad,2080,64,747,3.7,100 Ratings,Good,Capital O,O 85402 Sri Sai Regency,no,no,no,no,no,no,no,no
27,27,SPOT ON 68046 Rainbow Hotel,₹447₹117261% offper room per nightView DetailsBook Now,3.9 (404 Ratings)·Good, AC  TV  AC  + 12 more,"Hyderabad, Hyderabad·       5.4 km",Hyderabad,Hyderabad,1172,61,447,3.9,404 Ratings,Good,SPOT ON,ON 68046 Rainbow Hotel,no,no,no,no,no,no,no,no
28,28,OYO 40272 Hotel Srinivasa Inn,₹695₹165457% offper room per nightView DetailsBook Now,2.8 (86 Ratings)·Fair, Reception  Free Wifi  Geyser  + 9 more,"India, Hyderabad·       3.2 km",Hyderabad,India,1654,57,695,2.8,86 Ratings,Fair,OYO,40272 Hotel Srinivasa Inn,yes,yes,yes,yes,yes,yes,yes,yes
29,29,SPOT ON 78138 New Hi-tech Lodge,₹389₹91557% offper room per nightView DetailsBook Now,2.9 (190 Ratings)·Fair, TV  Doctor on Call  Reception  + 10 more,"Telangana, Hyderabad·       5.5 km",Hyderabad,Telangana,,57,389,2.9,190 Ratings,Fair,SPOT ON,ON 78138 New Hi-tech Lodge,no,no,no,no,no,no,no,no
