,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,City,Locality,Cost_Price,Discount,Selling_Price,Rate,Customer_Rating,Remarks,Category,Hotel_Name,Parking Facility,wifi_availabilty,AC,Reception,CCTV Cameras,Doctor on Call,Power backup,Elevator
113,113,OYO 78286 Collection O White Ridge,Sold Out,4.5 (3014 Ratings)·Excellent, AC  AC  TV  + 5 more,"LB Nagar, Hyderabad·       8.6 km",Hyderabad,LB Nagar,,,,4.5,3014 Ratings,Excellent,OYO,78286 Collection O White Ridge,no,no,no,no,no,no,no,no
114,114,OYO Flagship 18926 Tourist Krishna Inn,Sold Out,3.6 (376 Ratings)·Good, Elevator  Free Wifi  Geyser  + 9 more,"Near Barkatpura Rd, Kachiguda Station Rd,Hyderabad·       1.2 km",Hyderabad,Near Barkatpura Rd,,,,3.6,376 Ratings,Good,OYO,Flagship 18926 Tourist Krishna Inn,yes,yes,yes,yes,yes,yes,yes,yes
115,115,OYO 10139 Hotel Palak Residency,Sold Out,4.2 (1559 Ratings)·Very Good, AC  TV  Power backup  + 5 more,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom, Hyderabad·       9.9 km",Hyderabad,Metro Pillar no: A947,,,,4.2,1559 Ratings,Very,OYO,10139 Hotel Palak Residency,no,no,no,no,no,no,no,no
116,116,SPOT ON 47118 Pummy Lodge,Sold Out,2.5 (151 Ratings)·Fair, AC  TV  Window  + 1 more,"Centrally Located, Near Panjagutta Police Station,Panjagutta, Hyderabad·       5.8 km",Hyderabad,Centrally Located,,,,2.5,151 Ratings,Fair,SPOT ON,ON 47118 Pummy Lodge,no,no,no,no,no,no,no,no
117,117,OYO 87887 Alpine Glow Crest,Sold Out,4.9 (127 Ratings)·Fabulous, Reception  Free Wifi  Power backup  + 13 more,"Shop No. 10-4-A/130/2, Addagutta Road, Teachers Colony, East Marredpally·       7.0 km",Hyderabad,Shop No. 10-4-A/130/2,,,,4.9,127 Ratings,Fabulous,OYO,87887 Alpine Glow Crest,yes,yes,yes,yes,yes,yes,yes,yes
118,118,OYO 26883 Vasundhara Guest House,Sold Out,3.7 (676 Ratings)·Good, Reception  Free Wifi  Power backup  + 12 more,"Near Bombay Hotel, Hyderabad·       5.2 km",Hyderabad,Near Bombay Hotel,,,,3.7,676 Ratings,Good,OYO,26883 Vasundhara Guest House,yes,yes,yes,yes,yes,yes,yes,yes
119,119,OYO 30744 The  Gate,Sold Out,4.6 (1592 Ratings)·Excellent, Free Wifi  Geyser  Power backup  + 6 more,"Below Flyover, Railway station 1, Begumpet, Hyderabad·       6.8 km",Hyderabad,Below Flyover,,,,4.6,1592 Ratings,Excellent,OYO,30744 The Gate,yes,yes,yes,yes,yes,yes,yes,yes
120,120,CAPITAL O 15141 Townvilla Guest House,Sold Out,4.5 (2307 Ratings)·Excellent, Parking Facility  Reception  Free Wifi  + 14 more,"Near Indo US Super Speciality Hospital, Ameerpet, Hyderabad·       7.0 km",Hyderabad,Near Indo US Super Speciality Hospital,,,,4.5,2307 Ratings,Excellent,,O 15141 Townvilla Guest House,yes,yes,yes,yes,yes,yes,yes,yes
121,121,OYO Flagship 77115 Hotel Vaishnavi Palace,Sold Out,4.2 (2120 Ratings)·Very Good, Reception  Caretaker  Power backup  + 23 more,"#2-4-133 Beside KFC, Mahatma Gandhi Rd, Secunderabad, Telangana, Hyderabad·       5.7 km",Hyderabad,#2-4-133 Beside KFC,,,,4.2,2120 Ratings,Very,OYO,Flagship 77115 Hotel Vaishnavi Palace,no,no,no,no,no,no,no,no
122,122,OYO Townhouse  RCC Elite 265 Begumpet,Sold Out,4.6 (2887 Ratings)·Excellent, Private Entrance  Parking Facility  Reception  + 15 more,"Opp to Js babu silks., Hyderabad·       6.1 km",Hyderabad,Opp to Js babu silks.,,,,4.6,2887 Ratings,Excellent,OYO,Townhouse RCC Elite 265 Begumpet,no,no,no,no,no,no,no,no
123,123,OYO Townhouse 600 Gangothri,Sold Out,4.4 (3130 Ratings)·Very Good, Reception  Free Wifi  24/7 Checkin  + 11 more,Near RP Road BUS STOP·       5.7 km,Hyderabad,Near RP Road BUS STOP·       5.7 km,,,,4.4,3130 Ratings,Very,OYO,Townhouse 600 Gangothri,yes,yes,yes,yes,yes,yes,yes,yes
124,124,Capital O 23543 Hotel Vaishnavi,Sold Out,4.3 (2005 Ratings)·Very Good, Elevator  Free Wifi  Power backup  + 8 more,"Near Csi Wesley Church, Paras Towers, Hyderabad·       6.1 km",Hyderabad,Near Csi Wesley Church,,,,4.3,2005 Ratings,Very,Capital O,O 23543 Hotel Vaishnavi,yes,yes,yes,yes,yes,yes,yes,yes
