,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,Selling_Price,Cost_Price,Discount,City,Locality,Rate,Customer_Rating,Remarks,Category,wifi_availabilty,Hotel_Name,Elevator,Parking Facility,Power backup,Doctor on Call,CCTV Cameras,Reception,AC
10,10,OYO 84391 Townhouse Hotel Grand,₹868₹204757% offper room per nightView DetailsBook Now,4.8 (263 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 16 more,"Badarpur Border New Delhi, Delhi",868.0,2047.0,57.0,Delhi,"Badarpur Border New , ",4.8,3 Ratings,Excellent,OYO,yes,84391 Townhouse Hotel Grand,yes,yes,yes,yes,yes,yes,yes
11,11,OYO 77554 Red Carmine Deluxe,₹811₹233665% offper room per nightView DetailsBook Now,4.6 (230 Ratings)·Excellent, Doctor on Call  Reception  AC  + 8 more,"Badarpur Border, Delhi",811.0,2336.0,65.0,Delhi,"Badarpur Border, ",4.6,0 Ratings,Excellent,OYO,no,77554 Red Carmine Deluxe,no,no,no,no,no,no,no
12,12,Capital O 87150 The imperial orbit,₹899₹285168% offper room per nightView DetailsBook Now,4.8 (128 Ratings)·Excellent, Doctor on Call  Parking Facility  Reception  + 18 more,"India - 110034, Delhi",899.0,2851.0,68.0,Delhi,"India - 110034, ",4.8,8 Ratings,Excellent,Capital O,no,O 87150 The imperial orbit,no,no,no,no,no,no,no
13,13,Collection O 83904 Hotel Small Town,₹799₹233965% offper room per nightView DetailsBook Now,4.6 (269 Ratings)·Excellent, Reception  Power backup  Security  + 11 more,"60/61 Main Rampura School road, near ashok park main metro station-110086",799.0,2339.0,65.0,Delhi,"60/61 Main Rampura School road, near ashok park main metro station-110086",4.6,9 Ratings,Excellent,Collection O,no,O 83904 Hotel Small Town,no,no,no,no,no,no,no
14,14,OYO 75351 Hotel Moon Palace Dx,₹549₹193171% offper room per nightView DetailsBook Now,4.7 (955 Ratings)·Excellent, TV ,"Near R.K. ASHRAM MARG METRO STATION, Pahar Ganj, Delhi",549.0,1931.0,71.0,Delhi,"Near R.K. ASHRAM MARG METRO STATION, Pahar Ganj, ",4.7,5 Ratings,Excellent,OYO,no,75351 Hotel Moon Palace Dx,no,no,no,no,no,no,no
15,15,SPOT ON 72997 D C Palace,₹364₹224083% offper room per nightView DetailsBook Now,2.9 (520 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 10 more,"Near KD Campus, Gopalpur, Delhi",364.0,2240.0,83.0,Delhi,"Near KD Campus, Gopalpur, ",2.9,0 Ratings,Fair,SPOT ON,yes,ON 72997 D C Palace,yes,yes,yes,yes,yes,yes,yes
16,16,OYO 87588 Dolphin,₹541₹192071% offper room per nightView DetailsBook Now,4.5 (33 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 7 more,"New Delhi - 110 037, Delhi",541.0,1920.0,71.0,Delhi,"New  - 110 037, ",4.5,3 Ratings,Excellent,OYO,yes,87588 Dolphin,yes,yes,yes,yes,yes,yes,yes
17,17,SPOT ON 29024 Jageer Palace,₹433₹114562% offper room per nightView DetailsBook Now,4.3 (266 Ratings)·Very Good, Reception  CCTV Cameras  Power backup  + 3 more,"Near Bawana Chamber Of Industries, Puth Khurd, Delhi",433.0,1145.0,62.0,Delhi,"Near Bawana Chamber Of Industries, Puth Khurd, ",4.3,6 Ratings,Very,SPOT ON,no,ON 29024 Jageer Palace,no,no,no,no,no,no,no
18,18,OYO 86628 Ojas Palace ,₹541₹190671% offper room per nightView DetailsBook Now,4.1 (11 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 10 more,"new delhi , Delhi",541.0,1906.0,71.0,Delhi,"new delhi , ",4.1,1 Ratings,Very,OYO,yes,86628 Ojas Palace,yes,yes,yes,yes,yes,yes,yes
19,19,OYO 44260 Saffron Inn,₹974₹214754% offper room per nightView DetailsBook Now,4.6 (1855 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 13 more,"PHARAGANJ, Delhi",974.0,2147.0,54.0,Delhi,"PHARAGANJ, ",4.6,5 Ratings,Excellent,OYO,yes,44260 Saffron Inn,yes,yes,yes,yes,yes,yes,yes
